username_monitor,username_estudiante
1629009,1674582
1629009,1674003
1629009,1770034
1629009,1725813
1629009,1727671
1629009,1727875
1629009,1733666
1629009,1673676
1629009,1671020
1629009,1673103
1531184,1674416
1531184,1674508
1531184,1673235
1531184,1628686
1531184,1631970
1531184,1673955
1531184,1624646
1531184,1673446
1531184,1624892
1531184,1735269
1528819,1722329
1528819,1723492
1528819,1673713
1528819,1722356
1528819,1729130
1528819,1730033
1528819,1724775
1528819,1725854
1528819,1723242
1528819,1723256
1144527,1670321
1144527,1670585
1144527,1730981
1144527,1674479
1144527,1674579
1144527,1628342
1144527,1670352
1144527,1729695
1144527,1727208
1144527,1730976
934915,1731819
934915,1734398
934915,1673087
934915,1673313
934915,1673808
934915,1725404
934915,1725934
934915,1726066
934915,1726720
934915,1729907
1532261,1723453
1532261,1724872
1532261,1734694
1532261,1737160
1532261,1725028
1532261,1725698
1532261,1725352
1532261,1726324
1532261,1726617
1532261,1728031
1424563,1724247
1424563,1729040
1424563,1729872
1424563,1522897
1424563,1522317
1424563,1670687
1424563,1730472
1424563,1743882
1424563,1729838
1424563,1522189
1326723,1733239
1326723,1733130
1326723,1727762
1326723,1729605
1326723,1730053
1326723,1730957
1326723,1723523
1326723,1673312
1326723,1673192
1326723,1735875
1037125,1771418
1037125,1770417
1037125,1771363
1037125,1673610
1037125,1723248
1037125,1725299
1037125,1727347
1037125,1729904
1037125,1630199
1037125,1770025
1037125,1623270
1628022,1725925
1628022,1729008
1628022,1731905
1628022,1735869
1628022,1745382
1628022,1748988
1628022,1741185
1628022,1742937
1628022,1746918
1424394,1673197
1424394,1770900
1424394,1724684
1424394,1730804
1424394,1770491
1424394,1731823
1424394,1630340
1424394,1732801
1424394,1734695
1424394,1670015
1424386,1674444
1424386,1670706
1424386,1623046
1424386,1731886
1424386,1722443
1424386,1743684
1424386,1740540
1424386,1740443
1424386,1740126
1524788,1674217
1524788,1624714
1524788,1633497
1524788,1770178
1524788,1770056
1524788,1725005
1524788,1771337
1524788,1770285
1524788,1738748
1524788,1673513
1422551,1734163
1422551,1734688
1422551,1734819
1422551,1770437
1422551,1771305
1422551,1770255
1422551,1742739
1422551,1740071
1422551,1723321
1422551,1741933
1437617,1729177
1437617,1731018
1437617,1734701
1437617,1735429
1437617,1722819
1437617,1741343
1437617,1727870
1437617,1725921
1437617,1726520
1437617,1730105
1429175,1746688
1429175,1673784
1429175,1770444
1429175,1673335
1429175,1673604
1429175,1726921
1429175,1730404
1429175,1735933
1429175,1673657
1131739,1673752
1131739,1725110
1131739,1727963
1131739,1730992
1131739,1731776
1131739,1770271
1131739,1770283
1131739,1743149
1131739,1742510
1241391,1771314
1241391,1770004
1241391,1748766
1241391,1747950
1241391,1746636
1241391,1745625
1241391,1743069
1241391,1742535
1241391,1742776
1425326,1734662
1425326,1734715
1425326,1734822
1425326,1734831
1425326,1727901
1425326,1729743
1425326,1724349
1425326,1725229
1425326,1727811
1425326,1727895
1424896,1670111
1424896,1741531
1424896,1743986
1424896,1746781
1424896,1674365
1424896,1730286
1424896,1734402
1424896,1734818
1424896,1742830
1424896,1745532
1431328,1727758
1431328,1727921
1431328,1522434
1431328,1670419
1431328,1523320
1431328,1670504
1431328,1733887
1431328,1670306
1431328,1723033
1634346,1726856
1634346,1522160
1634346,1771295
1634346,1770065
